Gaia source ID,RA,DEC,photometric G-band flux (Flux[e^- s^-1]),Parallax(mas),astrometric wobble [e](mas),wobble signifigance,Companion mass (Msun),Companion mass (Msun)[Temp based],Orbital period(days),DM(pc cm^-3),Mass function,Sky Temperature(K),Orbital Separation,Effective temperature[K]
6576855799431742336,319.9719049543883,-44.08869961,13.99801,0.11711602421445517,0.12255819,10.281525,14.918553653321604,2.75,883.1725167019357,44.485,12.468575350347903,302.0111938476563,11.151279532002226,11629.635
5546717204993883904,123.6756111911329,-33.25851936,14.905534,0.1302903841810449,0.19333868,11.731633,14.291126989711255,2.75,1425.9014021561354,327.2318,11.85471617618785,309.9568725585938,15.147634840385155,11658.925
5644279444394497920,125.92742932906023,-30.57840183,14.951339,0.1318105109653891,0.19311178,11.863082,14.209164200915495,2.75,1390.4594573901952,278.6705,11.774603744042068,359.2853027,14.869597766055785,11707.889
3472991335291698560,185.1582731902587,-30.33554574,13.250824,0.12421122559222464,0.13553914,15.168256,14.201138361344796,2.75,893.2431252599094,58.7131,11.766760104234143,243.57343444824218,11.068760787696311,11724.02
5546489503008153344,122.87304680215897,-34.50010855,14.3961,0.10963786827318533,0.15175651,11.144751,15.616403259824557,2.75,1409.0455411839766,353.2845,13.152475680280904,334.2796875,15.439730911993493,11791.809
5598161498623944576,116.65380370534439,-31.4264681,14.524565,0.12919536624933098,0.19789869,16.75256,14.254379632061966,2.75,1491.4400257899124,261.6686,11.81879609087392,316.7641235351563,15.596109198483806,12178.831
5571057059519748096,90.70647939903778,-43.89088572,13.413494,0.11768207273294792,0.13256197,15.08293,14.69729718,2.75,971.0687178,56.5236,12.251986329701596,191.143457,11.825461013127958,12283.661
5701065753936166528,123.35463821029789,-21.63805873,13.798594,0.11356564143325082,0.18875821,25.604424,15.121188882590113,3.38,1792.8909200387798,149.1804,12.66704233772271,252.74761352539062,17.952163489689283,12371.313
5597959841325797504,120.85994184419683,-27.61755342,14.802283,0.12351689194690375,0.18539745,12.596179,14.704596169765473,3.38,1494.4387020039755,268.4197,12.259129360068613,318.3140502929688,15.765308292096343,12652.231
5644029447239844352,128.01810808836916,-29.38377738,13.927547,0.10976013659710494,0.14694256,15.005688,15.459613568586189,3.38,1326.2819456610914,257.7109,12.998722420070678,377.8498168945313,14.783373901930727,12760.112
5697225262907189760,121.56284567542727,-26.15976406,13.013193,0.088723618,0.11736189,19.445898,17.122839496614468,3.38,1448.601551382038,252.614,14.632287654781889,299.49761352539065,16.178401254699047,12762.004
5711988646046705152,116.15819105020083,-22.24390375,14.899441,0.13004397266908474,0.2326468,15.422816,14.304923441974694,3.38,1889.417563474068,197.2695,11.868203004785284,355.3020874023438,18.27950189635883,13198.234
5546580315795031552,123.19028323906167,-33.92752295,14.832278,0.12972163671883724,0.21136747,13.981293,14.306744567285747,3.38,1642.5326422149344,330.8019,11.869983299270206,324.2726074,16.650930845967086,13209.368
5546651612250266368,124.35042103650515,-33.56281078,15.141261,0.13584201441311472,0.21840009,12.348564,14.017100762048129,3.38,1575.8731561862016,320.5134,11.586950833758342,298.3561035,16.097145124253498,13243.35
5715419775160627968,114.25532643172693,-21.04447083,14.154775,0.11459134824822895,0.18081746,18.255283,15.153637967542506,3.38,1662.144235121695,208.2733,12.698833135197992,394.9531494140625,17.079588648444727,13259.252
3029083482890288128,114.3946384235457,-15.31823165,14.252489,0.12747894070512375,0.17202145,12.076815,14.286342355706582,3.38,1236.0733493004284,177.4277,11.850039043387529,363.7635742,13.770102584516453,13265.076
5602264257548771200,117.7213363001579,-25.73954535,13.76679,0.12197929967200169,0.13724805,16.818306,14.506509852176634,3.38,956.3003126105762,212.6177,12.065324706328424,358.4077392578125,11.658829436462572,13590.545
2896514747445714944,94.14775113867061,-30.17651195,14.370774,0.10720711521791719,0.15738101,12.281514,15.809805073121053,3.38,1558.8421667002235,67.876,13.342206049482847,159.59977111816406,16.577811525004588,13632.256
5542089738506860288,125.53051730154723,-36.80593381,15.07386,0.12819586107255207,0.22783135,14.205464,14.470442426869255,3.38,1893.4100919310147,351.1384,12.030048026682632,428.9897705078125,18.36932735819803,13637.48
5613969898854746112,115.578619,-25.89259802,13.553251,0.10683274760765511,0.18356852,31.860586,15.578549338065294,3.38,1943.9639804081564,219.054,13.11534986172398,400.7691589355469,19.120215676069346,13694.784
5619825622903217920,111.45974631039093,-21.59338305,14.693131,0.11293465708416996,0.17440493,12.288989,15.444106321537854,3.38,1641.4389591978731,193.5348,12.983518472360739,362.6501708984375,17.035946470943347,13831.374
2930031881956542848,109.50875923943838,-20.51800839,15.121304,0.10970437569702554,0.17856765,11.634846,15.831749755199175,3.38,1822.653882944254,180.691,13.363739201595871,319.6917358398438,18.40686019789821,13944.455
6108370902912230144,204.72648416583993,-44.95732984,13.249414,0.11288462869892057,0.14536044,17.809006,14.998199258417277,3.38,1212.2299215172914,123.165,12.546570714523634,642.4872680664063,13.795025369447691,13987.729
5598481765748447872,115.04605688377082,-30.67909237,13.365237,0.10836041466483577,0.13261028,19.881346,15.39111419668877,4.3,1153.804966890027,251.0554,12.931566900674452,344.21868286132815,13.453911253001984,14891.562
5616834813835461376,110.38262168732157,-25.19045898,14.684101,0.1028642205936337,0.15597488,10.573899,16.287907687612694,4.3,1687.9223681585825,169.9207,13.811567549914265,356.3547302246094,17.641178080365904,15001.431
6162768931453822336,203.3049256469844,-37.49241558,13.946505,0.12004602026546496,0.18307066,19.383007,14.693899392756894,4.3,1529.2859291915238,81.2542,12.24866118618423,424.6047607421875,16.005896583047292,15004.115
4179737863237521664,291.9120673,-17.95788954,13.656957,0.10110536032676895,0.136853,10.090924,16.111918988163122,4.3,1407.6073189375675,131.8989,13.638742491933106,480.0893188476563,15.577557921195988,15014.398
5601357985083793792,116.59636597186132,-28.44878332,15.187503,0.13233921350737088,0.23428455,14.290052,14.240320205985304,4.3,1851.1718325151412,241.1931,11.805054172201785,335.4271484,18.00722618626324,15052.28
5721028830645678720,122.04133481798887,-16.94015136,12.488423,0.10655507142657838,0.18537077,50.926003,15.241221539289278,4.3,1935.7310977857906,132.3667,12.784652353248756,244.95606384277343,18.939079607603873,15052.858
2972096688566994432,83.77100268466451,-16.2105663,14.605493,0.1081351358666239,0.1796453,13.268951,15.805121382753265,4.3,1876.0685236104227,59.2125,13.337610324688471,249.95588073730468,18.755076028487668,15194.232
2935584690553371136,104.74614371469758,-16.95065151,14.095833,0.12165107088302902,0.16929871,16.866241,14.627243674089074,4.3,1326.8693550380717,146.3289,12.183436643874527,331.9649597167969,14.54026002932392,15208.353
4087421934952791552,286.05029604421696,-17.98422163,12.562816,0.1087543822151048,0.12568021,14.259309,15.089910577617626,4.3,1037.1899916201194,199.1689,12.636400947567312,705.1585938,12.456004672759626,15214.114
5650352910402573440,139.05874154796493,-25.59742946,13.863646,0.10912007714636776,0.14325148,12.007716,15.490999051361173,4.3,1290.596320186178,93.249,13.029495702503732,182.22022399902343,14.525993479703832,15237.837
5414441420674317184,153.71059097496607,-43.75173799,13.792221,0.091026582,0.12034279,10.723705,17.156580870106737,4.3,1450.3811970158647,160.6383,14.665480875527566,311.3570801,16.20147459607963,15258.362
5595975738236138752,121.63831819714689,-31.17048056,14.232389,0.094510698,0.14871573,11.6936035,16.943664819013836,4.3,1859.041785525747,346.6075,14.456056678964849,295.47808227539065,19.04387199997401,15316.034
5611670201563517056,113.70669561700936,-28.75968408,13.824053,0.10533775667018327,0.17116001,20.98604,15.793528856905423,4.3,1813.3051037204245,187.8404,13.32623572119184,350.55315551757815,18.330291887016845,15348.137
6805531918539239040,313.65396802424743,-25.43691584,13.410974,0.091488732,0.1419706,16.228378,16.970541719926494,4.3,1823.6272083297788,51.6739,14.482488450342517,333.2920166015625,18.81041947910598,15433.017
4125884230378033408,254.24421924674252,-22.93628452,14.194511,0.093081478,0.13646239,10.6816845,17.078833971354076,4.3,1685.7061350054742,185.295,14.588999958606948,847.7677246,17.884626855046594,15688.741
5534464762800523648,120.58598800066588,-40.74779402,13.589859,0.098570521,0.12417823,11.86227,16.324404440378697,4.7,1281.2240540557143,472.4661,13.847415869423406,356.1054626464844,14.689524015420032,15758.626
5605527058300205184,111.16234131638599,-29.99891506,13.033737,0.090530239,0.12739456,18.803303,16.934368071142437,4.7,1571.316292448948,156.9548,14.446914197498169,311.0764099121094,17.021513556607413,15799.547
5710613638036928384,118.58153521033407,-23.96253348,13.370931,0.11878383142087579,0.12898691,17.510084,14.60597421,4.7,913.1549385939921,203.484,12.162626286647921,316.5525756835938,11.328979817272451,15837.565
5593976551206769280,117.87457950413365,-33.57197415,14.374124,0.13374948581743357,0.19684215,18.46112,13.933465460911021,4.7,1371.5599564105357,280.1522,11.505269541003171,387.8364196777344,14.647283536477664,15918.491
5603150841866967808,108.18971597216917,-33.41222314,13.713686,0.1273906100618243,0.12587708,10.862499,14.135501099207234,4.7,765.9939055,115.3395,11.702619755533515,262.2563415527344,9.976826403,15928.353
5603319543880484864,108.84143953639001,-32.23954755,14.212314,0.094797682,0.14287393,10.536738,16.907514904779983,4.7,1738.782070315706,127.1974,14.420507477746696,280.34661254882815,18.20149322444535,16129.826
